,user,text,favorite_count,retweet_count,created_at
48,FoxNews,"GOP megadonor urges Trump to drop out of the 2024 race, backs @GovRonDeSantis: It's 'time' for the next generation
https://t.co/lzUOXKoFS2",351,34,2023-05-23 23:45:07+00:00
49,FoxNews,"Texas home construction collapse kills 2, injures several others
https://t.co/RWLZl6PEgQ",40,6,2023-05-23 23:39:52+00:00
50,FoxNews,‘UTTERLY DISHONEST’: @tedcruz didn’t hold back in giving her a history lesson https://t.co/v6TuAOoXs8 https://t.co/L33EMYg6ad,771,134,2023-05-23 23:33:22+00:00
51,FoxNews,"Damar Hamlin appears at organized team activity nearly 5 months after cardiac arrest
https://t.co/tQvzcnURBM",144,8,2023-05-23 23:25:42+00:00
52,FoxNews,"Special Counsel Jack Smith working to wrap up Mar-a-Lago classified records investigation: Source
https://t.co/He4PGr7Nea",32,7,2023-05-23 23:20:27+00:00
53,FoxNews,"Biden DOE claims district removing books discussing bestiality likely violated civil rights law
https://t.co/l72bBMBntf",40,14,2023-05-23 23:15:04+00:00
54,FoxNews,California youths linked to at least 35 robberies in Oakland area https://t.co/61bcJsHTyX,64,16,2023-05-23 23:10:06+00:00
55,FoxNews,IRS commissioner denies intervening to retaliate against whistleblowers connected to Hunter Biden complaint https://t.co/eXkSjXaBKF,71,19,2023-05-23 23:05:05+00:00
56,FoxNews,"Pfizer's diabetes pill shows similar weight loss results as Ozempic
https://t.co/ATFAPC7VWs",53,5,2023-05-23 23:00:04+00:00
57,FoxNews,".@candacecbure explains Chick-fil-A photo after critics suggest she lied about not eating fast food
https://t.co/qQUgwHBbpk",45,5,2023-05-23 22:55:05+00:00
58,FoxNews,"Man arrested after intentionally setting fire to his home with four children inside, police say
https://t.co/6L9eowAkoh",63,13,2023-05-23 22:50:05+00:00
59,FoxNews,NBA fines Jimmy Butler after failing to fulfill Game 3 media access https://t.co/d07HHUhkzf,35,1,2023-05-23 22:45:03+00:00
60,FoxNews,Inside the 'vital mission' to secure homes for military families as some slept in cars https://t.co/mlXX6764qK,86,10,2023-05-23 22:40:07+00:00
61,FoxNews,BREAKING: @GovRonDeSantis releases video ahead of presidential campaign launch https://t.co/oglgcnlTKG,184,21,2023-05-23 22:35:03+00:00
62,FoxNews,‘I AM HER VOICE’: A grieving mother calls on Congress and demands a “secure” border after a suspected MS-13 gang member allegedly murdered her daughter https://t.co/wwyKQ1e72D https://t.co/zzaU4WGaAy,323,77,2023-05-23 22:30:02+00:00
63,FoxNews,"Round 3 of Disney job cuts starting
https://t.co/zj1wNfRLeW",144,23,2023-05-23 22:25:04+00:00
64,FoxNews,"Alex Murdaugh to face questioning in Mallory Beach boating death case
https://t.co/65mf5ne3IA",112,10,2023-05-23 22:20:05+00:00
65,FoxNews,"LA Dodgers condemned for re-inviting anti-Catholic LGBTQ group to Pride Night: 'Vulgar, grotesque'
https://t.co/EGReEzMKJC",533,155,2023-05-23 22:15:09+00:00
66,FoxNews,MISSING THE MARK: The retail chain has become the next 'Target' of online outrage — and the company's CEO's recent interview is not aging well https://t.co/mwpz06r5gU https://t.co/OWEvsjd4aB,152,32,2023-05-23 22:10:11+00:00
67,FoxNews,Comer requests meeting with FBI director after refusal to produce Biden doc allegedly showing illegal scheme https://t.co/znHGUwuwT7,721,234,2023-05-23 22:05:04+00:00
